term,estimate,std.error,statistic,conf.low,conf.high,method
`Job Experience`3-5 years,0.10726960445870354,0.011557871995657446,9.281086042396659,0.072138368177648,0.14240084073975906,Anytime-valid (CS)
`Job Experience`5+ years,0.11297561561981487,0.01138751442713177,9.921007463282802,0.07836219715110318,0.14758903408852656,Anytime-valid (CS)
`Job Plans`contract with employer,0.12465722284584259,0.01169334182748872,10.660530127734594,0.08911421330126523,0.16020023239041994,Anytime-valid (CS)
`Job Plans`interviews with employer,0.025633731372346584,0.01179929469216712,2.17247996944795,-0.010231331844833325,0.06149879458952649,Anytime-valid (CS)
`Job Plans`no plans to look for work,-0.15742319182826273,0.011752068270535425,-13.395360561591643,-0.19314470590614818,-0.12170167775037725,Anytime-valid (CS)
`Reason for Application`seek better job,-0.040396391480536496,0.008825759905631147,-4.577100659033583,-0.06722311673939822,-0.013569666221674766,Anytime-valid (CS)
`Reason for Application`escape persecution,0.04848964200783768,0.015302839120004031,3.168669658459097,0.0019752268025271386,0.09500405721314822,Anytime-valid (CS)
`Prior Entry`once as tourist,0.055813648705055945,0.01251565761699879,4.459505877601648,0.017771133169256735,0.09385616424085516,Anytime-valid (CS)
`Prior Entry`many times as tourist,0.054191614816964856,0.012893053978338587,4.203163572262345,0.015001967633850248,0.09338126200007946,Anytime-valid (CS)
`Prior Entry`six months with family,0.07458860362950243,0.01260129726615206,5.919121028106565,0.036285778345458854,0.112891428913546,Anytime-valid (CS)
`Prior Entry`once w/o authorization,-0.11042050988901396,0.013046462397404859,-8.463636081990954,-0.15007645635453498,-0.07076456342349294,Anytime-valid (CS)
