CaseID,resp_seq,contest_no,profile,Chosen_Immigrant,Gender,Education,Language Skills,Country of Origin,Job,Job Experience,Job Plans,Reason for Application,Prior Entry
14,10,5,2,0,male,high school,used interpreter,Poland,child care provider,none,contract with employer,seek better job,once as tourist
15,11,1,1,1,male,high school,tried English but unable,Poland,gardener,5+ years,contract with employer,seek better job,many times as tourist
15,11,1,2,0,male,college degree,fluent English,Philippines,waiter,none,no plans to look for work,reunite with family,never
15,11,2,1,1,female,4th grade,fluent English,Sudan,waiter,3-5 years,will look for work,escape persecution,many times as tourist
15,11,2,2,0,male,two-year college,broken English,Somalia,construction worker,none,no plans to look for work,seek better job,once as tourist
15,11,3,1,0,male,8th grade,broken English,Germany,janitor,none,will look for work,seek better job,once w/o authorization
15,11,3,2,1,female,high school,fluent English,Germany,construction worker,3-5 years,interviews with employer,reunite with family,six months with family
15,11,4,1,1,male,no formal,tried English but unable,Somalia,construction worker,1-2 years,no plans to look for work,escape persecution,many times as tourist
15,11,4,2,0,male,no formal,tried English but unable,Mexico,teacher,5+ years,no plans to look for work,reunite with family,once w/o authorization
15,11,5,1,0,male,high school,used interpreter,China,teacher,5+ years,no plans to look for work,seek better job,once w/o authorization
15,11,5,2,1,male,graduate degree,fluent English,France,waiter,none,interviews with employer,seek better job,six months with family
16,12,1,1,1,male,high school,used interpreter,China,nurse,1-2 years,no plans to look for work,reunite with family,six months with family
16,12,1,2,0,female,no formal,used interpreter,Mexico,janitor,1-2 years,no plans to look for work,seek better job,never
16,12,2,1,0,male,no formal,fluent English,Iraq,janitor,3-5 years,interviews with employer,seek better job,never
16,12,2,2,1,male,high school,broken English,Germany,construction worker,3-5 years,no plans to look for work,seek better job,six months with family
16,12,3,1,0,male,high school,fluent English,France,waiter,none,no plans to look for work,seek better job,once w/o authorization
16,12,3,2,1,male,8th grade,tried English but unable,Germany,teacher,3-5 years,no plans to look for work,seek better job,six months with family
16,12,4,1,1,female,two-year college,used interpreter,Germany,nurse,1-2 years,contract with employer,reunite with family,six months with family
16,12,4,2,0,male,two-year college,fluent English,France,teacher,1-2 years,interviews with employer,reunite with family,many times as tourist
16,12,5,1,0,male,high school,tried English but unable,Poland,waiter,3-5 years,will look for work,reunite with family,once w/o authorization
16,12,5,2,1,female,graduate degree,used interpreter,Sudan,financial analyst,5+ years,contract with employer,escape persecution,six months with family
17,13,1,1,0,male,graduate degree,used interpreter,Poland,construction worker,1-2 years,interviews with employer,reunite with family,once as tourist
17,13,1,2,1,male,college degree,fluent English,France,nurse,none,interviews with employer,reunite with family,once w/o authorization
17,13,2,1,0,female,graduate degree,broken English,India,financial analyst,none,will look for work,reunite with family,many times as tourist
17,13,2,2,1,male,college degree,fluent English,India,nurse,none,will look for work,reunite with family,six months with family
17,13,3,1,1,female,no formal,broken English,Sudan,teacher,1-2 years,contract with employer,seek better job,many times as tourist
17,13,3,2,0,male,no formal,fluent English,Sudan,teacher,none,no plans to look for work,reunite with family,six months with family
17,13,4,1,0,female,8th grade,fluent English,India,nurse,1-2 years,will look for work,reunite with family,many times as tourist
17,13,4,2,1,male,graduate degree,fluent English,China,child care provider,1-2 years,no plans to look for work,reunite with family,once as tourist
17,13,5,1,0,female,no formal,used interpreter,Germany,waiter,5+ years,will look for work,reunite with family,once as tourist
17,13,5,2,1,male,8th grade,used interpreter,Philippines,teacher,1-2 years,no plans to look for work,reunite with family,once as tourist
18,14,1,1,0,female,8th grade,tried English but unable,Philippines,construction worker,1-2 years,will look for work,reunite with family,six months with family
18,14,1,2,1,female,high school,broken English,Iraq,child care provider,5+ years,will look for work,reunite with family,once w/o authorization
18,14,2,1,0,female,graduate degree,used interpreter,India,computer programmer,5+ years,will look for work,reunite with family,many times as tourist
18,14,2,2,1,female,graduate degree,used interpreter,Somalia,teacher,5+ years,will look for work,escape persecution,six months with family
18,14,3,1,1,female,high school,fluent English,Poland,child care provider,3-5 years,will look for work,seek better job,many times as tourist
18,14,3,2,0,female,two-year college,used interpreter,Sudan,nurse,5+ years,no plans to look for work,escape persecution,once as tourist
18,14,4,1,1,female,two-year college,fluent English,Poland,doctor,3-5 years,interviews with employer,seek better job,once w/o authorization
18,14,4,2,0,male,no formal,broken English,Poland,construction worker,none,contract with employer,seek better job,never
18,14,5,1,1,female,two-year college,used interpreter,Philippines,janitor,1-2 years,contract with employer,reunite with family,never
18,14,5,2,0,female,high school,tried English but unable,Philippines,child care provider,none,contract with employer,seek better job,once w/o authorization
20,15,1,1,1,female,high school,fluent English,India,child care provider,none,contract with employer,reunite with family,once as tourist
20,15,1,2,0,female,4th grade,tried English but unable,Sudan,janitor,3-5 years,will look for work,seek better job,never
20,15,2,1,1,female,high school,fluent English,Poland,teacher,none,will look for work,reunite with family,once as tourist
20,15,2,2,0,female,high school,used interpreter,Mexico,nurse,1-2 years,interviews with employer,seek better job,many times as tourist
20,15,3,1,0,male,no formal,tried English but unable,Iraq,construction worker,none,will look for work,reunite with family,many times as tourist
20,15,3,2,1,female,8th grade,broken English,Philippines,nurse,5+ years,no plans to look for work,reunite with family,many times as tourist
20,15,4,1,0,female,4th grade,tried English but unable,Poland,nurse,3-5 years,contract with employer,reunite with family,six months with family
20,15,4,2,1,female,two-year college,fluent English,France,research scientist,none,will look for work,seek better job,once w/o authorization
20,15,5,1,0,female,high school,broken English,Poland,janitor,3-5 years,interviews with employer,reunite with family,once w/o authorization
20,15,5,2,1,female,high school,fluent English,Iraq,teacher,none,will look for work,escape persecution,many times as tourist
21,16,1,1,1,female,no formal,fluent English,Philippines,teacher,1-2 years,contract with employer,reunite with family,once as tourist
21,16,1,2,0,male,college degree,broken English,Philippines,gardener,1-2 years,contract with employer,reunite with family,once as tourist
21,16,2,1,0,female,4th grade,broken English,France,nurse,3-5 years,no plans to look for work,reunite with family,once w/o authorization
21,16,2,2,1,male,college degree,used interpreter,Philippines,computer programmer,none,interviews with employer,seek better job,once as tourist
21,16,3,1,1,female,8th grade,used interpreter,Somalia,construction worker,1-2 years,contract with employer,seek better job,once as tourist
21,16,3,2,0,male,no formal,fluent English,Philippines,janitor,none,will look for work,seek better job,once w/o authorization
21,16,4,1,0,male,college degree,fluent English,Iraq,financial analyst,5+ years,no plans to look for work,seek better job,once as tourist
21,16,4,2,1,female,two-year college,fluent English,India,gardener,5+ years,contract with employer,seek better job,many times as tourist
21,16,5,1,0,female,no formal,fluent English,Iraq,nurse,5+ years,interviews with employer,seek better job,once w/o authorization
21,16,5,2,1,female,graduate degree,fluent English,China,janitor,1-2 years,will look for work,seek better job,once w/o authorization
22,17,1,1,0,female,8th grade,broken English,Sudan,child care provider,1-2 years,no plans to look for work,reunite with family,six months with family
22,17,1,2,1,female,college degree,used interpreter,Mexico,child care provider,1-2 years,interviews with employer,reunite with family,once w/o authorization
22,17,2,1,0,male,two-year college,used interpreter,Somalia,gardener,none,no plans to look for work,escape persecution,never
22,17,2,2,1,male,graduate degree,broken English,Iraq,gardener,none,interviews with employer,escape persecution,six months with family
22,17,3,1,1,female,two-year college,used interpreter,Somalia,janitor,none,interviews with employer,seek better job,never
22,17,3,2,0,female,8th grade,tried English but unable,China,child care provider,3-5 years,no plans to look for work,seek better job,never
22,17,4,1,1,male,no formal,used interpreter,China,gardener,1-2 years,interviews with employer,seek better job,once as tourist
22,17,4,2,0,female,no formal,fluent English,Mexico,child care provider,5+ years,will look for work,seek better job,six months with family
22,17,5,1,0,male,two-year college,fluent English,Poland,computer programmer,1-2 years,no plans to look for work,reunite with family,once w/o authorization
22,17,5,2,1,female,8th grade,broken English,Poland,waiter,5+ years,no plans to look for work,reunite with family,never
24,18,1,1,0,male,graduate degree,tried English but unable,Iraq,child care provider,none,interviews with employer,seek better job,once w/o authorization
24,18,1,2,1,male,high school,used interpreter,Mexico,construction worker,none,interviews with employer,reunite with family,many times as tourist
24,18,2,1,0,female,graduate degree,tried English but unable,India,financial analyst,5+ years,contract with employer,seek better job,many times as tourist
24,18,2,2,1,female,college degree,tried English but unable,Somalia,doctor,3-5 years,interviews with employer,escape persecution,once as tourist
24,18,3,1,1,female,4th grade,fluent English,Philippines,nurse,none,no plans to look for work,seek better job,six months with family
24,18,3,2,0,male,two-year college,tried English but unable,Mexico,child care provider,5+ years,interviews with employer,reunite with family,once w/o authorization
24,18,4,1,1,male,college degree,fluent English,France,research scientist,none,will look for work,reunite with family,never
24,18,4,2,0,male,high school,used interpreter,Mexico,nurse,1-2 years,interviews with employer,reunite with family,once w/o authorization
24,18,5,1,0,female,8th grade,tried English but unable,Iraq,child care provider,none,no plans to look for work,reunite with family,six months with family
24,18,5,2,1,female,graduate degree,broken English,Sudan,gardener,3-5 years,no plans to look for work,escape persecution,six months with family
27,19,1,1,1,male,4th grade,broken English,India,nurse,1-2 years,contract with employer,seek better job,once w/o authorization
27,19,1,2,0,male,two-year college,tried English but unable,Somalia,teacher,1-2 years,contract with employer,escape persecution,once as tourist
27,19,2,1,1,female,4th grade,fluent English,Mexico,waiter,5+ years,no plans to look for work,reunite with family,six months with family
27,19,2,2,0,female,college degree,broken English,China,child care provider,3-5 years,will look for work,escape persecution,six months with family
27,19,3,1,0,male,no formal,fluent English,Mexico,waiter,1-2 years,will look for work,seek better job,once as tourist
27,19,3,2,1,female,4th grade,fluent English,Sudan,waiter,5+ years,contract with employer,escape persecution,once as tourist
27,19,4,1,0,female,high school,used interpreter,Mexico,janitor,1-2 years,will look for work,seek better job,never
27,19,4,2,1,female,8th grade,used interpreter,Iraq,child care provider,3-5 years,contract with employer,seek better job,six months with family
27,19,5,1,1,female,graduate degree,used interpreter,Sudan,research scientist,none,contract with employer,escape persecution,never
27,19,5,2,0,female,graduate degree,tried English but unable,China,computer programmer,3-5 years,no plans to look for work,escape persecution,once w/o authorization
28,20,1,1,1,female,high school,used interpreter,Germany,gardener,3-5 years,contract with employer,reunite with family,many times as tourist
28,20,1,2,0,male,no formal,tried English but unable,Sudan,child care provider,5+ years,contract with employer,reunite with family,once w/o authorization
28,20,2,1,0,male,8th grade,tried English but unable,Germany,waiter,5+ years,interviews with employer,seek better job,once as tourist
28,20,2,2,1,male,4th grade,fluent English,Sudan,waiter,3-5 years,will look for work,reunite with family,many times as tourist
28,20,3,1,0,female,8th grade,fluent English,France,construction worker,5+ years,interviews with employer,seek better job,never
28,20,3,2,1,female,graduate degree,broken English,France,waiter,3-5 years,contract with employer,reunite with family,many times as tourist
28,20,4,1,0,male,two-year college,used interpreter,Somalia,teacher,none,no plans to look for work,escape persecution,once w/o authorization
28,20,4,2,1,male,8th grade,used interpreter,China,waiter,1-2 years,no plans to look for work,seek better job,never
28,20,5,1,1,male,4th grade,fluent English,India,child care provider,1-2 years,will look for work,seek better job,once as tourist
28,20,5,2,0,female,8th grade,fluent English,France,waiter,none,no plans to look for work,seek better job,many times as tourist
30,21,1,1,0,female,4th grade,used interpreter,Poland,construction worker,5+ years,interviews with employer,seek better job,six months with family
30,21,1,2,1,female,two-year college,broken English,Sudan,computer programmer,3-5 years,will look for work,reunite with family,never
30,21,2,1,1,female,graduate degree,broken English,Somalia,financial analyst,1-2 years,interviews with employer,escape persecution,once as tourist
30,21,2,2,0,male,high school,tried English but unable,India,child care provider,5+ years,no plans to look for work,seek better job,once as tourist
30,21,3,1,1,male,8th grade,used interpreter,Somalia,teacher,5+ years,will look for work,seek better job,six months with family
30,21,3,2,0,female,graduate degree,broken English,Germany,doctor,3-5 years,interviews with employer,reunite with family,never
30,21,4,1,1,female,two-year college,used interpreter,France,computer programmer,3-5 years,no plans to look for work,seek better job,never
30,21,4,2,0,male,graduate degree,used interpreter,Iraq,construction worker,3-5 years,no plans to look for work,reunite with family,once as tourist
30,21,5,1,0,female,graduate degree,broken English,Germany,research scientist,none,contract with employer,reunite with family,six months with family
30,21,5,2,1,female,4th grade,fluent English,France,child care provider,3-5 years,contract with employer,seek better job,never
31,22,1,1,0,male,college degree,broken English,France,janitor,3-5 years,interviews with employer,reunite with family,many times as tourist
31,22,1,2,1,male,two-year college,fluent English,India,financial analyst,3-5 years,no plans to look for work,reunite with family,once w/o authorization
31,22,2,1,1,male,high school,fluent English,Somalia,nurse,none,interviews with employer,seek better job,many times as tourist
31,22,2,2,0,male,graduate degree,tried English but unable,Philippines,financial analyst,3-5 years,contract with employer,seek better job,once w/o authorization
31,22,3,1,0,male,two-year college,used interpreter,China,financial analyst,5+ years,contract with employer,escape persecution,many times as tourist
31,22,3,2,1,female,4th grade,tried English but unable,China,nurse,1-2 years,no plans to look for work,seek better job,many times as tourist
31,22,4,1,1,female,no formal,tried English but unable,France,nurse,none,no plans to look for work,seek better job,many times as tourist
31,22,4,2,0,male,4th grade,broken English,China,child care provider,5+ years,contract with employer,escape persecution,six months with family
31,22,5,1,1,female,no formal,fluent English,Mexico,waiter,1-2 years,will look for work,reunite with family,many times as tourist
31,22,5,2,0,female,high school,broken English,India,construction worker,5+ years,will look for work,reunite with family,once w/o authorization
32,23,1,1,0,female,two-year college,used interpreter,Philippines,waiter,3-5 years,interviews with employer,seek better job,six months with family
32,23,1,2,1,female,two-year college,used interpreter,China,janitor,3-5 years,will look for work,escape persecution,once as tourist
32,23,2,1,1,male,graduate degree,tried English but unable,China,financial analyst,3-5 years,no plans to look for work,seek better job,many times as tourist
32,23,2,2,0,male,8th grade,fluent English,Philippines,teacher,3-5 years,interviews with employer,reunite with family,once as tourist
32,23,3,1,1,female,graduate degree,broken English,Germany,janitor,none,interviews with employer,seek better job,once as tourist
32,23,3,2,0,male,8th grade,tried English but unable,Sudan,waiter,1-2 years,will look for work,reunite with family,many times as tourist
32,23,4,1,1,female,two-year college,fluent English,Germany,gardener,3-5 years,interviews with employer,seek better job,once w/o authorization
32,23,4,2,0,male,4th grade,used interpreter,India,gardener,1-2 years,no plans to look for work,reunite with family,once as tourist
32,23,5,1,1,male,two-year college,tried English but unable,India,janitor,5+ years,interviews with employer,seek better job,never
32,23,5,2,0,female,college degree,fluent English,Germany,waiter,3-5 years,no plans to look for work,seek better job,six months with family
33,24,1,1,1,male,high school,fluent English,Iraq,teacher,none,contract with employer,escape persecution,never
33,24,1,2,0,male,4th grade,broken English,Somalia,teacher,3-5 years,interviews with employer,seek better job,once w/o authorization
33,24,2,1,0,male,no formal,used interpreter,Mexico,nurse,5+ years,will look for work,reunite with family,six months with family
33,24,2,2,1,male,4th grade,broken English,Philippines,teacher,1-2 years,will look for work,reunite with family,six months with family
33,24,3,1,0,male,4th grade,used interpreter,Somalia,janitor,5+ years,no plans to look for work,escape persecution,many times as tourist
33,24,3,2,1,female,4th grade,broken English,Germany,child care provider,1-2 years,will look for work,seek better job,six months with family
33,24,4,1,1,male,4th grade,broken English,France,janitor,1-2 years,will look for work,seek better job,six months with family
33,24,4,2,0,female,graduate degree,used interpreter,Sudan,financial analyst,3-5 years,interviews with employer,reunite with family,once w/o authorization
33,24,5,1,1,male,no formal,broken English,Germany,teacher,1-2 years,interviews with employer,reunite with family,once as tourist
33,24,5,2,0,female,4th grade,tried English but unable,Iraq,waiter,none,contract with employer,reunite with family,many times as tourist
34,25,1,1,0,female,4th grade,broken English,Somalia,janitor,none,no plans to look for work,seek better job,never
34,25,1,2,1,female,8th grade,tried English but unable,Sudan,construction worker,5+ years,will look for work,seek better job,once w/o authorization
34,25,2,1,0,female,4th grade,broken English,Iraq,nurse,5+ years,interviews with employer,seek better job,never
34,25,2,2,1,male,two-year college,used interpreter,Iraq,child care provider,none,interviews with employer,escape persecution,once w/o authorization
34,25,3,1,0,male,high school,broken English,Philippines,gardener,5+ years,will look for work,reunite with family,once as tourist
34,25,3,2,1,male,college degree,broken English,France,construction worker,5+ years,interviews with employer,reunite with family,once as tourist
34,25,4,1,0,male,graduate degree,broken English,Mexico,waiter,3-5 years,will look for work,reunite with family,never
34,25,4,2,1,male,8th grade,broken English,Germany,janitor,1-2 years,will look for work,seek better job,once as tourist
34,25,5,1,0,female,college degree,fluent English,Somalia,doctor,1-2 years,will look for work,reunite with family,once w/o authorization
34,25,5,2,1,male,college degree,fluent English,Mexico,waiter,5+ years,no plans to look for work,seek better job,six months with family
35,26,1,1,1,male,two-year college,fluent English,Somalia,doctor,none,interviews with employer,reunite with family,once as tourist
35,26,1,2,0,female,no formal,tried English but unable,Iraq,gardener,1-2 years,will look for work,reunite with family,once w/o authorization
35,26,2,1,0,female,no formal,used interpreter,Poland,janitor,1-2 years,interviews with employer,seek better job,many times as tourist
35,26,2,2,1,female,8th grade,broken English,India,waiter,none,no plans to look for work,reunite with family,six months with family
35,26,3,1,0,male,no formal,tried English but unable,France,construction worker,1-2 years,interviews with employer,seek better job,once as tourist
35,26,3,2,1,female,8th grade,broken English,France,waiter,5+ years,interviews with employer,seek better job,many times as tourist
35,26,4,1,1,female,no formal,tried English but unable,Sudan,teacher,none,contract with employer,escape persecution,once w/o authorization
35,26,4,2,0,female,8th grade,tried English but unable,Poland,gardener,none,will look for work,reunite with family,many times as tourist
35,26,5,1,0,male,no formal,fluent English,Poland,nurse,3-5 years,interviews with employer,seek better job,once w/o authorization
35,26,5,2,1,female,graduate degree,fluent English,Germany,gardener,3-5 years,will look for work,reunite with family,once as tourist
36,27,1,1,1,male,two-year college,fluent English,France,waiter,none,no plans to look for work,reunite with family,once as tourist
